0,1,2
,2,B.完全没有想过
,3,C.有想过，但不会往这方面发展
,4,D.没有想过
Q28,您所从事的行业属于以下哪个类别？,单选题
,本题选项:,
,1,A.制造业
,2,B.采矿业
,3,C.电力，热力，燃气及水生产和供应业
,4,D.化工业
,5,E.其他
Q29,您平时对所在地区污水处理的信息关注程度,量表题
Q30,您对企业排污两大原则：企业生活污水的处理原则和达标与风险控制相结合原则的了解程度？,量表题
Q31,您觉得您所在的单位对实现“碳中和”主要依靠下列哪些路径？,多选题
,本题选项:,
,1,A.碳替代
,2,B.碳减排
,3,C.碳封存
,4,D.碳循环
,6,E.其他
Q32,您知道污水中的主要危害性物质有哪些吗？,多选题
,本题选项:,
,1,A.油类污染物（包括石油类和动植物油等）
,2,B.有毒污染物（包括无机化学毒物、有机化学毒物、放射性毒物等）
,3,C.固体污染物（包括悬浮物、胶体状杂质、溶解性杂质等）
,4,D.生物污染物（包括微生物、寄生虫、昆虫、病毒等）
,5,E.营养性污染物（包括氮、磷、钾、铵盐等）
,7,F.其他
Q33,以下哪种方法在您企业处理污水的过程中有用到？,多选题
,本题选项:,
,1,A.物理处理法
,2,B.化学处理法
,3,C.生物处理法
,4,D.不怎么了解
,5,E.其他方法
Q34,您觉得传统的污水治理方式有什么弊端？,多选题
,本题选项:,
,1,A.污水管道投资费用大
,2,B.经常出现跑、冒、漏、渗现象，形成二次污染
,3,C.微生物菌种少，见效达标速度慢
,4,D.若当地拉不到活性污泥作为生化处理的基地便无法培养细菌
,5,E.消耗大量的化学试剂
,6,F.污泥培养的细菌不稳定，容易导致菌落死亡
,8,G.其他
Q35,&nbsp;您觉得微藻等转基因生物处理污水存在以下哪种缺陷,多选题
,本题选项:,
,1,A.治污效率及稳定性有待提高
,2,B.技术的可持续性有待提高
,3,C.成本的经济性有待改善
,4,D.环境风险有待评估
,5,E.其他顾虑
Q36,您对菌藻共生系统的了解程度？,量表题
Q37,您认为以微藻或菌藻共生系统处理污水的优势是？,多选题
,本题选项:,
,1,A.处理过程消耗的能量少，有机物的去除率高
,2,B.可杀死病原菌，不需投加氮、磷等营养物质
,3,C.反应速率较快，可以快速处理污水
,4,D.处理过程中散发的臭气较少
,5,E.能降解有机物并分解完全
,6,F.可行性强和经济效益高
,8,G.其他
Q38,可持续发展在保护环境的条件下既满足当代人的需求，又可以不损害后代人的需求为前瞻，基于上述优点，您对微藻应用于能源、农业、食品、医疗、工业领域的接受度,打分题
,本题打分项:,
,1,能源
,2,农业
,3,食品
,4,医疗
,5,工业
Q39,若将来有机会推广并运用菌藻互作技术治理污水，您最希望这项技术有以下哪个特性？,单选题
,本题选项:,
,1,A.节约能源
,2,B.治理效果好
,3,C.低污染
,4,D.经济成本低
,6,E.其他
Q40,合成生物学的目的在于建立人工生物系统，让它们像电路一样运行。您对于合成生物学的了解程度？,量表题
Q41,您对企业治理污水引入菌藻互作技术的接受程度,量表题
Q42,您的生活用水受到污染了吗？（比如自来水变混浊、使用自来水发过敏等）,单选题
,本题选项:,
,1,A.是
,2,B.否
,3,C.没有关注
Q43,您认为以下哪些污水对您的生活造成了影响？,多选题
,本题选项:,
,1,A.工业废水
,2,B.生活污水
,3,C.商业污水
Q44,您认为哪些方法可以防治污水？,多选题
,本题选项:,
,1,A.加大水源地保护
,2,B.提高污水排放标准
,3,C.采用循环用水技术
,4,D.发展无废水生产工艺
,6,E.其他
Q45,您身边有污水随意排放的现象吗？,单选题
,本题选项:,
,1,A.有
,2,B.没有
,3,C.没有关注
Q46,您对所在地区污水处理使用的技术有了解吗？,量表题
Q47,您平时会通过哪些途径得知所在地区污水处理所使用技术的消息？,多选题
,本题选项:,
,1,A.网络媒体
,2,B.公益讲座或广告
,3,C.图书期刊
,4,D.亲朋好友告知
,5,E.其他
Q48,您知道污水中的主要危害性物质有哪些吗？,多选题
,本题选项:,
,1,A.油类污染物（包括石油类和动植物油等）
,2,B.有毒污染物（包括无机化学毒物、有机化学毒物、放射性毒物等）
,3,C.固体污染物（包括悬浮物、胶体状杂质、溶解性杂质等）
,4,D.生物污染物（包括微生物、寄生虫、昆虫、病毒等）
,5,E.营养性污染物（包括氮、磷、钾、铵盐等）
,7,F.其他
Q49,您是否听说或了解过菌藻共生系统？,单选题
,本题选项:,
,1,A.是
,2,B.否
Q50,您是通过哪些途径了解菌藻共生系统？,多选题
,本题选项:,
,1,A.网络媒体
,2,B.公益讲座或广告
,3,C.图书期刊
,4,D.亲朋好友告知
,5,E.其他
Q51,您听说或遇见过使用菌藻共生系统处理污水吗？,量表题
Q52,您认为以微藻或菌藻共生系统处理污水的优势是？,多选题
,本题选项:,
,1,A.处理过程消耗的能量少，有机物的去除率高
,2,B.可杀死病原菌，不需投加氮、磷等营养物质
,3,C.反应速度较快，可以快速处理污水
,4,D.处理过程中散发的臭气较少
,5,E.对能降解有机物分解完全
,6,F.可行性强和经济效益高
,8,G.其他
Q53,可持续发展在保护环境的条件下既满足当代人的需求，又可以不损害后代人的需求为前瞻，基于上述优点，您对微藻应用于能源、农业、食品、医疗、工业领域的接受度 ？,打分题
,本题打分项:,
,1,能源
,2,农业
,3,食品
,4,医疗
,5,工业
Q54,您能接受在哪个方面使用菌藻共生系统处理后的水？,多选题
,本题选项:,
,1,A.城市绿化
,2,B.工业施工
,3,C.生活用水
,4,D.商业用水当中的非生活用水
,5,E.都不接受
Q55,您对使用处理过污水的菌或藻所提炼出的物质以及所加工成的产品的接受程度？,量表题
Q56,如果推行菌藻共生系统进行污水处理，您是否会给予支持？,量表题
Q57,您觉得微藻等转基因生物处理污水存在以下哪种缺陷？,多选题
,本题选项:,
,1,A.净化效率偏低
,2,B.种群密度要求高
,3,C.技术经济效益低
,4,D.生物安全风险有待评估
,6,E.其他
Q58,您对合成生物学的了解程度？,量表题
Q59,您是否支持利用合成生物学进行环境治理技术的研发与转基因生物的研究？,量表题
Q60,您曾通过什么途径了解到有关合成生物学的内容？,单选题
,本题选项:,
,1,A.网络媒体
,2,B.公益讲座或广告
,3,C.图书期刊
,4,D.亲朋好友告知
,5,E.其他
Q61,您认为合成生物学技术及相关产品的安全性如何？,量表题
Q62,您认为合成生物学的发展前景如何？,量表题
Q63,在目前合成生物学仍存在较大风险的情况下，您愿意支持合成生物学的发展吗（比如主动向周围人介绍合成生物学、在社交软件上主动科普合成生物学等，尽管现在合成生物学还有很多不成熟的地方）？,量表题
Q64,您的生活用水受到污染了吗？（比如自来水变混浊、使用自来水发过敏等）,单选题
,本题选项:,
,1,A.是
,2,B.否
,3,C.没有关注
Q65,您认为以下哪些污水对您的生活造成了影响？,多选题
,本题选项:,
,1,A.工业污水
,2,B.生活污水
,3,C.商业污水
Q66,您认为哪些方法可以防治污水？,多选题
,本题选项:,
,1,A.加大水源地保护
,2,B.提高污水排放标准
,3,C.采用循环用水技术
,4,D.发展无废水生产工艺
,6,E.其他
Q67,您身边有污水随意排放的现象吗？,单选题
,本题选项:,
,1,A.有
,2,B.没有
,3,C.没有关注
Q68,您有对所在地区污水处理使用的技术有了解吗？,量表题
Q69,您平时会通过哪些途径得知所在地区污水处理所使用技术的消息？,多选题
,本题选项:,
,1,A.网络媒体
,2,B.公益讲座或广告
,3,C.图书期刊
,4,D.亲朋好友告知
,5,E.其他
Q70,您对用菌藻互作技术来处理污水的接受程度？,量表题
Q71,您对微藻的了解程度？,量表题
Q72,您认为以微藻为代表的新型技术处理污水能否取得成功？,单选题
,本题选项:,
,1,A.是
,2,B.否
